Table,Processed Name,Original Name,Description
animals,species,species,Integrated Taxonomic Information System Species
animals,subspecies,,Integrated Taxonomic Information System Subspecies
animals,binomial,,Binomial Nomenclature based on Integrated Taxonomic Information System
specimens,specimen_id,GAINS3_SpecimenID,Numerical Specimen ID
specimens,animal_id,GAINS3_AnimalID,Numerical Animal ID
specimens,specimen_id_name,SpecimenIDUnique,"Unique ID assigned by gains.org; a sequential number/letter combination, concatenated to the Animal ID."
specimens,specimen_type,SpecimenType,Type of specimen sample
specimens,sampling_method,SamplingMethod,Description of sample collection method
specimens,aliquot_id,AliquotID,Unique ID assigned to sample aliquot. Each aliquot should be entered in its own row in the template: same Specimen ID for each aliquot.
specimens,specimen_date,SpecimenDate,
specimens,specimen_type_group,SpecimenTypeGroup,
specimens,specimen_condition,SpecimenCondition,Description of specimen condition at storage
specimens,sample_container,SampleContainer,Description of container holding sample
specimens,storage_medium,StorageMedium,Description of storage medium
specimens,labratory_storage_method,LaboratoryStorageMethod,Description of storage method
specimens,storage_location_facility_original,StorageLocationFacilityOriginal,
specimens,storage_location_in_facility_original,StorageLocationInFacilityOriginal,
specimens,storage_location_address_original,StorageLocationAdressOriginal,"Original physical address for the facility where specimens are located. NOTE: different spelling of ""address"""
specimens,storage_location_facility_current,StorageLocationFacilityCurrent,
specimens,storage_location_in_facility_current,StorageLocationInFacilityCurrent,
specimens,storage_location_address_current,StorageLocationAdressCurrent,"Current physical address for the facility where specimens are located. NOTE: different spelling of ""address"""
specimens,time_from_collection_to_freezing,TimeFromCollectionToFreezing,Time between collection of specimen and freezing
specimens,specimen_comments,SpecimenComments,Comment on the specimen sample
specimens,specimen_notes,SpecimenNotes,Notes on specimen sample
specimens,specimen_custom_columns,SpecimenCustomColumns,Specimen custom columns
specimens,date_last_updated,DateLastUpdated,
specimens,specimen_type_id,SpecimenTypeID,
specimens,specimen_id_name2,Specimen_ID,"ID assigned by gains.org; a sequential number/letter combination, concatenated to the Animal ID."
tests,test_id,TestID,Numerical Test ID
tests,specimen_id_name,SpecimenID,"Unique ID assigned by gains.org; a sequential number/letter combination, concatenated to the Animal ID."
tests,pooled,Pooled,Whether tests are pooled or single samples
tests,test_type_broad,TestTypeBroad,Type of test
tests,test_type_specific,TestTypeSpecific,Specific type of test
tests,test_date,TestDate,Date of test
tests,test_result,TestResult,Categorical result of test
tests,confirmatory_testing,ConfirmatoryTesting,Test type run for confirmation
tests,confirmation_result,ConfirmationResult,Result from the confirmatory testing
tests,diagnostic_laboratory_name,DiagnosticLaboratoryName,Name of diagnostic laboratory
tests,lab_storage_method,LabStorageMethod,Description of storage method
tests,lab_submission_date,LabSubmissionDate,Date of submission specimens to laboratory
tests,specimen_type,SpecimenType,Description of sample type submitted
tests,specimen_type_group,SpecimenTypeGroup,
tests,other_test_type,OtherTestType,Description of test type (if not listed)
tests,test_requested,TestRequested,Name of test requested (for PCR and Serology)
tests,other_test_requested,OtherTestRequested,Description of test requested (if not listed)
tests,test_requested_protocol,TestRequestedProtocol,
tests,other_test_requested_protocol,OtherTestRequestedProtocol,
tests,methodology_reference,MethodologyReference,Reference for test methodology
tests,results_date,ResultsDate,Date of test results
tests,raw_result,RawResult,Quantitative value of test result
tests,result_descriptor,ResultDescriptor,Description of sequencing and microarray details for positive confirmation results
tests,sequence,Sequence,
tests,virus_name,VirusName,
tests,interpretation,Interpretation,Completed by Tracey Goldstein et al. when test result has been finalized
tests,test_status,TestStatus,Status of the test
tests,message_sent_to_country,MessageSentToCountry,
tests,message_sent_to_govt,MessageSentToGovt,
tests,govt_approved_release,GovtApprovedRelease,
tests,notes,Notes,
tests,interpretation_notes,InterpretationNotes,
tests,comments,Comments,
tests,predict_protocol,PredictProtocol,
tests,date_last_updated,DateLastUpdated,
tests,specimen_id,GAINS3_SpecimenID,Numerical Specimen ID
viruses,virus_id,GAINS3_SequenceID,Numerical Sequence ID
viruses,test_id,GAINS3_TestID,Numerical Test ID
viruses,viral_family,ViralFamily,ICTV Viral Family
viruses,viral_genus,ViralGenus,ICTV Viral Genus
viruses,known,Processed from Interpretation,Whether sequence represents a known virus
viruses,known_human_risk,Processed from Interpretation,Whether sequence represents a virus that poses possible risk to humans
viruses,new_genbank_accession,GenbankAccessionNumber,Genbank Accession Number for novel strain or novel virus sequences
viruses,known_genbank_accession,Processed from Interpretation,Genbank Accession Number for known viruses
viruses,virus_name,VirusName,Virus Name
viruses,virus_code,VirusCode,
viruses,date_last_updated,DateLastUpdated,
viruses,sequence,Sequence,
viruses,interpretation,Interpretation,
