table,endpoint2,order,original_name,auto_processed_name,replacement_name,description,processing_notes,question
events_2,Event,NA,CamelsPresent,camels_present,NA,"To the best of your knowledge, what is the estimated number of humans and animals (live or dead) within 0.5 km in any direction? Do not include animals kept at the location you are sampling e.g. animals on/in that farm, market, restaurant, dwelling etc.)",5-cat var,NA
events_2,Event,NA,SwinePresent,swine_present,NA,"To the best of your knowledge, what is the estimated number of humans and animals (live or dead) within 0.5 km in any direction? Do not include animals kept at the location you are sampling e.g. animals on/in that farm, market, restaurant, dwelling etc.)",5-cat var,NA
events_2,Event,NA,CattlePresent,cattle_present,NA,"To the best of your knowledge, what is the estimated number of humans and animals (live or dead) within 0.5 km in any direction? Do not include animals kept at the location you are sampling e.g. animals on/in that farm, market, restaurant, dwelling etc.)",5-cat var,NA
events_2,Event,NA,DogsPresent,dogs_present,NA,"To the best of your knowledge, what is the estimated number of humans and animals (live or dead) within 0.5 km in any direction? Do not include animals kept at the location you are sampling e.g. animals on/in that farm, market, restaurant, dwelling etc.)",5-cat var,NA
events_2,Event,NA,CatsPresent,cats_present,NA,"To the best of your knowledge, what is the estimated number of humans and animals (live or dead) within 0.5 km in any direction? Do not include animals kept at the location you are sampling e.g. animals on/in that farm, market, restaurant, dwelling etc.)",5-cat var,NA
events_2,Event,NA,drinkingWaterShared,drinking_water_shared,NA,Is drinking water shared between humans and animals?,yes/no/unknown,NA
events_2,Event,NA,bathingWaterShared,bathing_water_shared,NA,Is bathing water shared between humans and animals?,yes/no/unknown,NA
events_2,Event,NA,ToiletsAvailable,toilets_available,NA,"Are the toilets, latrines, or other public facilities available for people at this site...","5-cat var, semicolon separated",NA
events_2,Event,NA,DrinkingWaterSource,drinking_water_source,NA,Where do people at this site get their drinking water?,"4-cat var, semicolon separated",NA
events_2,Event,NA,AverageTripToWater,average_trip_to_water,NA,How long is the average trip to the drinking water sources?,3-cat var,NA
events_2,Event,NA,InsectVectors,insect_vectors,NA,What types of insect vectors are observed at the site?,"6-cat var, semicolon separated",NA
events_2,Event,NA,VectorControlMeasures,vector_control_measures,NA,Are vector control measures used at the site?,yes/no,NA
events_2,Event,NA,CommunityEngagement,community_engagement,NA,?? - Not included in Site / Event Field Metadata document,NA,NA
events_2,Event,NA,CommunityEngagementDate,community_engagement_date,NA,?? - Not included in Site / Event Field Metadata document,NA,NA
events_2,Event,NA,CommunityEngagementNotes,community_engagement_notes,NA,?? - Not included in Site / Event Field Metadata document,NA,NA
events_2,Event,NA,NbrBeds,nbr_beds,NA,?? - Not included in Site / Event Field Metadata document,NA,NA
events_2,Event,NA,IsDeepForest,is_deep_forest,NA,Uses deep forest protocols,yes/no,NA
events_2,Event,NA,Notes,notes,event_notes,Notes,NA,NA
events_2,Event,NA,OutbreakName,outbreak_name,NA,Name of an outbreak event,NA,NA
animals_2,Animal,NA,Country,country,DROP,Event-level information,NA,NA
animals_2,Animal,NA,SiteName,site_name,DROP,Event-level information,NA,NA
animals_2,Animal,NA,ConcurrentSamplingSite,concurrent_sampling_site,DROP,Event-level information,NA,NA
animals_2,Animal,NA,District,district,DROP,Event-level information,NA,NA
animals_2,Animal,NA,StateProv,state_prov,DROP,Event-level information,NA,NA
animals_2,Animal,NA,SiteLatitudeUnrounded,site_latitude_unrounded,DROP,Event-level information,NA,NA
animals_2,Animal,NA,SiteLongitudeUnrounded,site_longitude_unrounded,DROP,Event-level information,NA,NA
animals_2,Animal,NA,EventLatitudeUnrounded,event_latitude_unrounded,DROP,Event-level information,NA,NA
animals_2,Animal,NA,EventLongitudeUnrounded,event_longitude_unrounded,DROP,Event-level information,NA,NA
animals_2,Animal,NA,EventDate,event_date,DROP,Event-level information,NA,NA
animals_2,Animal,NA,Season,season,DROP,Event-level information,NA,NA
animals_2,Animal,NA,DurationDays,duration_days,DROP,Event-level information,NA,NA
animals_2,Animal,NA,EventName,event_name,NA,The event name is an automatically generated combination of the site name and the start date of the event.,ID for joining Events + Animals,NA
animals_2,Animal,NA,DiseaseTransmissionInterfaces,disease_transmission_interfaces,DROP,Event-level information,NA,NA
animals_2,Animal,NA,AnimalID,animal_id,NA,"The animal ID is an automatically generated combination: AnimalID = OrganizationCountryTaxaAnimal#. For example, the first bat sampled by UCDavis in Tanzania would be UTZB001",NA,NA
animals_2,Animal,NA,Class,class,NA,Taxonomic resolution by IM (ITIS?),NA,NA
animals_2,Animal,NA,Order,order,NA,Taxonomic resolution by IM (ITIS?),NA,NA
animals_2,Animal,NA,Family,family,NA,Taxonomic resolution by IM (ITIS?),NA,NA
animals_2,Animal,NA,Genus,genus,NA,Taxonomic resolution by IM (ITIS?),NA,NA
animals_2,Animal,NA,Species,species,NA,Taxonomic resolution by IM (ITIS?),NA,NA
animals_2,Animal,NA,TaxaGroup,taxa_group,NA,"Animal's taxa group: rodents/shrews, bats, non-human primates, birds, carnivores, ungulates, poultry, goats/sheep, camels, swine, cattle/buffalo, dogs, cats, other.",14-cat variable,NA
animals_2,Animal,NA,AnimalClass,animal_class,NA,"Animal's classification: captive wild animal, free-randing wild animal, owned domesticated species, unowned domesticated species.",NA,NA
animals_2,Animal,NA,TagAndOtherID,tag_and_other_id,NA,??,NA,NA
animals_2,Animal,NA,SpeciesScientificName,species_scientific_name,NA,"If complete genus species is unknown, this should be the next known level of taxonomic classification (i.e. genus, subfamily, family).",NA,NA
animals_2,Animal,NA,SpeciesEnglishName,species_english_name,NA,Common name of animal,NA,NA
animals_2,Animal,NA,SpeciesScientificNameFieldMorphology,species_scientific_name_field_morphology,NA,"If present, this field represents field species identification and species_scientific_name represents barcoded species identifcation. If absent, species_scientific_name represents field species identification.",NA,NA
animals_2,Animal,NA,SpeciesEnglishNameFieldMorphology,species_english_name_field_morphology,NA,"If present, this field represents field species identification and species_english_name represents barcoded species identifcation. If absent, species_english_name represents field species identification.",NA,NA
animals_2,Animal,NA,SpeciesLocalName,species_local_name,NA,Local name of animal,NA,NA
animals_2,Animal,NA,IDCertainty,id_certainty,NA,"What is the level of certainty of species identification: actual, estimate, unknown?",3-cat variable,NA
animals_2,Animal,NA,Sex,sex,NA,"Animal's sex: male, female, unknown",NA,NA
animals_2,Animal,NA,SampleDate,sample_date,NA,Date sample was taken,NA,NA
animals_2,Animal,NA,SampleLocationLatitude,sample_location_latitude,NA,Decimal degrees (if different than event),NA,NA
animals_2,Animal,NA,SampleLocationLongitude,sample_location_longitude,NA,Decimal degrees (if different than event),NA,NA
animals_2,Animal,NA,RecorderName,recorder_name,sample_recorder,Name of person recording sample information,NA,NA
animals_2,Animal,NA,OrganizationSampled,organization_sampled,NA,Organization doing the sampling -- is this ever different than the Organization doing the Event?,NA,NA
animals_2,Animal,NA,AgeClass,age_class,NA,"Fetus (in utero); Neonate (newborn); Juvenile (dependent); Subadult (immature, independent); Adult (reproductive age); Unknown.",6-cat var,NA
animals_2,Animal,NA,ConditionAtSampling,condition_at_sampling,NA,"Estimate condition at sampling: alive, alive (non-invasive sample collection), dead (fresh carcass), dead (> 48 hours).",NA,NA
animals_2,Animal,NA,nonInvasiveComment,non_invasive_comment,NA,??,NA,NA
animals_2,Animal,NA,ReleasedAlive,released_alive,NA,??,NA,NA
animals_2,Animal,NA,NecropsyExam,necropsy_exam,exam_type,"Was a necropscy exam conducted: necropsy, physical exam, no?",NA,NA
animals_2,Animal,NA,NecropsyExamResult,necropsy_exam_result,exam_result,"What are the physical signs/signalment regarding the animals, to get information such as edema, bruising, hemorrhage, skin lesions, conjunctivitis, excessive discharge, etc. This would help define sentinel syndromes.",NA,NA
animals_2,Animal,NA,PreservationMethodIfDead,preservation_method_if_dead,NA,Cooked; dried; fermented; frozen; powdered; preserved in liquid; salted; smoked; not preserved,NA,NA
animals_2,Animal,NA,HealthStatus,health_status,NA,"Estimate health status at sampling: apparently healthy, sick, injured, unknown?",4-cat var,NA
animals_2,Animal,NA,ClinicalSignsIfSick,clinical_signs_if_sick,NA,"Specify clinical signs if found sick of injured. Select all that apply: abscesses, abdominal mass, amputated body parts, broken bones, contusions, dermatitis, diarrhea, emaciated, external parasites, hair loss, in shock, lacerations, lethargic, nasal discharge, non-responsive, paralysis, respiratory symptoms, skin lesions, skin mass, swelling, other.",semicolon separated list,NA
animals_2,Animal,NA,ClinicalSignsOther,clinical_signs_other,NA,POSSIBLE DROP?,NA,NA
animals_2,Animal,NA,AnimalHumanInterfaces,animal_human_interfaces,NA,Select the animal to human interfaces that best describe the animal’s contact with people in this setting. Select all that apply.,semicolon separated list,NA
animals_2,Animal,NA,AnimalUseProducedSold,animal_use_produced_sold,NA,"If this animal or animal product is being produced or sold, what is the intended use of the animal product? Select all that apply.",semicolon separated list,NA
animals_2,Animal,NA,BatEarHeight,bat_ear_height,NA,NA,NA,NA
animals_2,Animal,NA,BatTailLength,bat_tail_length,NA,NA,NA,NA
animals_2,Animal,NA,BatHindFoodLength,bat_hind_foot_length,NA,NA,NA,NA
animals_2,Animal,NA,BatForearmLength,bat_forearm_length,NA,NA,NA,NA
animals_2,Animal,NA,BatHeadBodyLength,bat_head_body_length,NA,NA,NA,NA
animals_2,Animal,NA,BatWeight,bat_weight,NA,NA,NA,NA
animals_2,Animal,NA,NHPBodyLength,nhp_body_length,NA,NA,NA,NA
animals_2,Animal,NA,NHPHeadLength,nhp_head_length,NA,NA,NA,NA
animals_2,Animal,NA,NHPRightEarWidth,nhp_right_ear_width,NA,NA,NA,NA
animals_2,Animal,NA,NHPHeadWidth,nhp_head_width,NA,NA,NA,NA
animals_2,Animal,NA,NHPRightEarHeight,nhp_right_ear_height,NA,NA,NA,NA
animals_2,Animal,NA,NHPLeftEarWidth,nhp_left_ear_width,NA,NA,NA,NA
animals_2,Animal,NA,NHPLeftEarHeight,nhp_left_ear_height,NA,NA,NA,NA
animals_2,Animal,NA,NHPWeight,nhp_weight,NA,NA,NA,NA
animals_2,Animal,NA,RodentOtherRightEarHeight,rodent_other_right_ear_height,NA,NA,NA,NA
animals_2,Animal,NA,RodentOtherTailLength,rodent_other_tail_length,NA,NA,NA,NA
animals_2,Animal,NA,RodentOtherRHindFoot,rodent_other_rhind_foot,NA,NA,NA,NA
animals_2,Animal,NA,RodentOtherBodyLength,rodent_other_body_length,NA,NA,NA,NA
animals_2,Animal,NA,RodentOtherWeight,rodent_other_weight,NA,NA,NA,NA
animals_2,Animal,NA,Notes,notes,animal_notes,Notes from Animal table.,NA,NA
specimens_2,Specimen,NA,Country,country,DROP,Event-level information,NA,NA
specimens_2,Specimen,NA,SiteName,site_name,DROP,Event-level information,NA,NA
specimens_2,Specimen,NA,ConcurrentSamplingSite,concurrent_sampling_site,DROP,Event-level information,NA,NA
specimens_2,Specimen,NA,District,district,DROP,Event-level information,NA,NA
specimens_2,Specimen,NA,StateProv,state_prov,DROP,Event-level information,NA,NA
specimens_2,Specimen,NA,SiteLatitudeUnrounded,site_latitude_unrounded,DROP,Event-level information,NA,NA
specimens_2,Specimen,NA,SiteLongitudeUnrounded,site_longitude_unrounded,DROP,Event-level information,NA,NA
specimens_2,Specimen,NA,EventLatitudeUnrounded,event_latitude_unrounded,DROP,Event-level information,NA,NA
specimens_2,Specimen,NA,EventLongitudeUnrounded,event_longitude_unrounded,DROP,Event-level information,NA,NA
specimens_2,Specimen,NA,EventDate,event_date,DROP,Event-level information,NA,NA
specimens_3,Specimen,NA,Season,season,DROP,Event-level information,NA,NA
specimens_2,Specimen,NA,DurationDays,duration_days,DROP,Event-level information,NA,NA
specimens_2,Specimen,NA,EventName,event_name,DROP,Event-level information,NA,NA
specimens_2,Specimen,NA,DiseaseTransmissionInterfaces,disease_transmission_interfaces,DROP,Event-level information,NA,NA
specimens_2,Specimen,NA,Animal/Human ID,animal_human_id,NA,Unique ID linking both Human table via participant_id and Animal table via animal_id.,NA,NA
specimens_2,Specimen,NA,TaxaGroup,taxa_group,DROP,Animal-level information,NA,NA
specimens_2,Specimen,NA,AnimalClass,animal_class,DROP,Animal-level information,NA,NA
specimens_2,Specimen,NA,SpeciesScientificName,species_scientific_name,DROP,Animal-level information,NA,NA
specimens_2,Specimen,NA,SpeciesEnglishName,species_english_name,DROP,Animal-level information,NA,NA
specimens_2,Specimen,NA,Sex,sex,DROP,Animal-level information,NA,NA
specimens_2,Specimen,NA,SpecimenID,specimen_id,NA,Preferred format:  AnimalIDSpecimenTypeSpecimen# The first oral swab sampled from the animal above would be UTZB001.O1,NA,NA
specimens_2,Specimen,NA,SpecimenType,specimen_type,NA,Possible combination of Specimen Type and Specimen Tissue Type fields from metadata documents,NA,NA
specimens_2,Specimen,NA,Medium,medium,NA,Specimen medium,NA,NA
specimens_2,Specimen,NA,Container,container,NA,Specimen container,NA,NA
specimens_2,Specimen,NA,StorageMethod,storage_method,NA,Specimen storage method,NA,NA
specimens_2,Specimen,NA,StorageFacility,storage_facility,NA,Storage facility,NA,NA
specimens_2,Specimen,NA,StorageLocation,storage_location,NA,Storage location within facility,NA,NA
specimens_2,Specimen,NA,Notes,notes,specimen_notes,NA,NA,NA
specimens_2,Specimen,NA,DateOfSpecimenCollection (humans only),date_of_specimen_collection_humans_only,NA,??,NA,NA
specimens_2,Specimen,NA,TimeOfSpecimenCollection (humans only),time_of_specimen_collection_humans_only,NA,??,NA,NA
specimens_2,Specimen,NA,SpecimenCollectedForDiagnosis (humans only),specimen_collected_for_diagnosis_humans_only,NA,??,NA,NA
animal_production_2,AnimalProduction,NA,Country,country,DROP,Event-level information,NA,NA
animal_production_2,AnimalProduction,NA,SiteName,site_name,DROP,Event-level information,NA,NA
animal_production_2,AnimalProduction,NA,District,district,DROP,Event-level information,NA,NA
animal_production_2,AnimalProduction,NA,StateProv,state_prov,DROP,Event-level information,NA,NA
animal_production_2,AnimalProduction,NA,SiteLatitudeUnrounded,site_latitude_unrounded,DROP,Event-level information,NA,NA
animal_production_2,AnimalProduction,NA,SiteLongitudeUnrounded,site_longitude_unrounded,DROP,Event-level information,NA,NA
animal_production_2,AnimalProduction,NA,EventLatitudeUnrounded,event_latitude_unrounded,DROP,Event-level information,NA,NA
animal_production_2,AnimalProduction,NA,EventLongitudeUnrounded,event_longituded_unrounded,DROP,Event-level information,NA,NA
animal_production_2,AnimalProduction,NA,DurationDays,duration_days,DROP,Event-level information,NA,NA
animal_production_2,AnimalProduction,NA,InterfacesHumansSampled,interfaces_human_sampled,DROP,Event-level information,NA,NA
animal_production_2,AnimalProduction,NA,EventDate,event_date,DROP,Event-level information,NA,NA
animal_production_2,AnimalProduction,NA,EventName,event_name,NA,The event name is an automatically generated combination of the site name and the start date of the event.,NA,NA
animal_production_2,AnimalProduction,NA,DiseaseTransmissionInterfaces,disease_transmission_interfaces,DROP,Event-level information,NA,NA
animal_production_2,AnimalProduction,NA,InterfacesAnimalsSampled,interfaces_animals_sampled,DROP,Event-level information,NA,NA
animal_production_2,AnimalProduction,NA,TypeOfProduction,type_of_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,RodentsInProduction,rodents_in_production,NA,What is the number of taxa animals in production at this facility? none; 1-10; 11-100; 101-1000; > 1000,5-cat var,NA
animal_production_2,AnimalProduction,NA,RodentsNbrEnclosures,rodents_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,RodentsAvgNbrEnclosure,rodents_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,RodentsAvgSizeEnclosure,rodents_avg_size_enclosure,NA,What is the average size of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,RodentsFreerangingTethered,rodents_freeranging_tethered,NA,What is the number of freeranging or tethered animals?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,RodentsPurposeOfProduction,rodents_purpose_of_production,NA,What is the purpose of taxa animal production? for breeding; for food; for resale of animals; for sale of animal products; not observed.,"semicolon separated and includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,RodentsTypeOfEnclosure,rodents_type_of_enclosure,NA,What is the type of animal enclosure? fenced outdoor enclosure; free range (open range) outdoor; indoor enclosure in fully enclosed facility; outdoor cage; tethered grazing outdoor,"semicolon separated and includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,BatsInProduction,bats_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,NHPInProduction,nhp_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,BirdsInProduction,birds_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,CarnivoresInProduction,carnivores_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,UngulatesInProduction,ungulates_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,PangolinsInProduction,pangolins_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,PoultryInProduction,poultry_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,GoatsInProduction,goats_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,CamelsInProduction,camels_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,SwineInProduction,swine_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,CattleInProduction,cattle_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,HorsesInProduction,horses_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,DogsInProduction,dogs_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,CatsInProduction,cats_in_production,NA,"What is the type of production system? Select one: family owned, corporate, government.",3-cat var,NA
animal_production_2,AnimalProduction,NA,BatsNbrEnclosures,bats_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,NHPNbrEnclosures,nhp_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,BirdsNbrEnclosures,birds_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,CarnivoresNbrEnclosures,carnivores_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,UngulatesNbrEnclosures,ungulates_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,PangolinsNbrEnclosures,pangolins_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,PoultryNbrEnclosures,poultry_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,GoatsNbrEnclosures,goats_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,CamelsNbrEnclosures,camels_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,SwineNbrEnclosures,swine_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,CattleNbrEnclosures,cattle_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,HorsesNbrEnclosures,horses_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,DogsNbrEnclosures,dogs_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,CatsNbrEnclosures,cats_nbr_enclosures,NA,What is the number of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,BatsAvgNbrEnclosure,bats_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,NHPAvgNbrEnclosure,nhp_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,BirdsAvgNbrEnclosure,birds_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,CarnivoresAvgNbrEnclosure,carnivores_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,UngulatesAvgNbrEnclosure,ungulates_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,PangolinsAvgNbrEnclosure,pangolins_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,PoultryAvgNbrEnclosure,poultry_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,GoatsAvgNbrEnclosure,goats_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,CamelsAvgNbrEnclosure,camels_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,SwineAvgNbrEnclosure,swine_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,CattleAvgNbrEnclosure,cattle_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,HorsesAvgNbrEnclosure,horses_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,DogsAvgNbrEnclosure,dogs_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,CatsAvgNbrEnclosure,cats_avg_nbr_enclosure,NA,What is the average number of taxa animals per enclosure?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,BatsAvgSizeEnclosure,bats_avg_size_enclosure,NA,What is the average size of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,NHPAvgSizeEnclosure,nhp_avg_size_enclosure,NA,What is the average size of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,BirdsAvgSizeEnclosure,birds_avg_size_enclosure,NA,What is the average size of taxa enclosures?,"includes ""N/A""",NA
animal_production_2,AnimalProduction,NA,CarnivoresAvgSizeEnclosure,carnivores_avg_size_enclosure,NA,What is the average size of taxa enclosures?,"includes ""N/A""",NA
