GAINS3_SampleUnitID,GAINS3_SpecimenID,SpecimenID,AliquotID,SpecimenIDUnique,SpecimenDate,SpecimenType,SpecimenTypeGroup,SpecimenCondition,SamplingMethod,SampleContainer,StorageMedium,LabratoryStorageMethod,StorageLocationFacilityOriginal,StorageLocationInFacilityOriginal,StorageLocationAdressOriginal,StorageLocationFacilityCurrent,StorageLocationInFacilityCurrent,StorageLocationAdressCurrent,TimeFromCollectionToFreezing,SpecimenComments,SpecimenNotes,SpecimenCustomColumns,DateLastUpdated,SpecimenTypeID,CRDate,LMDate,Country
16,32,080612MLBGbb001,080612MLBGbb001.1,080612MLBGbb001.1,2008-06-12,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
16,32,080612MLBGbb001,080612MLBGbb001.2,080612MLBGbb001.2,2008-06-12,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
17,34,080623JFKGBG001,080623JFKGBG001.1,080623JFKGBG001.1,2008-06-23,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
17,34,080623JFKGBG001,080623JFKGBG001.2,080623JFKGBG001.2,2008-06-23,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
18,36,090925MLBGBG001,090925MLBGBG001.1,090925MLBGBG001.1,2009-09-25,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
18,36,090925MLBGBG001,090925MLBGBG001.2,090925MLBGBG001.2,2009-09-25,Serum,blood products,Frozen -80oC,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Serum,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
19,37,GVF-CM-ECO06535DN1,NA,GVF-CM-ECO06535DN1,2010-11-17,Blood drop,blood drop,NA,NA,NA,NA,Ambient temperature,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Blood drop,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
19,38,GVF-CM-ECO06535F1,NA,GVF-CM-ECO06535F1,2010-11-17,Feces,feces,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Feces,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
19,39,GVF-CM-ECO06535KI1,NA,GVF-CM-ECO06535KI1,2010-11-17,Kidney,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Kidney,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
19,40,GVF-CM-ECO06535LE1,NA,GVF-CM-ECO06535LE1,2010-11-17,Liver,tissue/biopsy,NA,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Liver,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
19,41,GVF-CM-ECO06535LI1,NA,GVF-CM-ECO06535LI1,2010-11-17,Colon,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Colon,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
19,42,GVF-CM-ECO06535LU1,NA,GVF-CM-ECO06535LU1,2010-11-17,Lung,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Lung,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
19,43,GVF-CM-ECO06535LV1,NA,GVF-CM-ECO06535LV1,2010-11-17,Liver,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Liver,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
19,44,GVF-CM-ECO06535OR1,NA,GVF-CM-ECO06535OR1,2010-11-17,Oral swab,oral/nasal/oropharyngeal swabs,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Oral swab,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
19,45,GVF-CM-ECO06535RR1,NA,GVF-CM-ECO06535RR1,2010-11-17,Rectal swab,rectal/anal swab,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Rectal swab,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
19,46,GVF-CM-ECO06535SI1,NA,GVF-CM-ECO06535SI1,2010-11-17,Lung,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Lung,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
19,47,GVF-CM-ECO06535SP1,NA,GVF-CM-ECO06535SP1,2010-11-17,Spleen,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Spleen,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
19,48,GVF-CM-ECO06535ZGN1,,GVF-CM-ECO06535ZGN1,2010-11-11,Rectal swab,rectal/anal swab,NA,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Rectal swab,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
19,49,GVF-CM-ECO06535ZGD1,,GVF-CM-ECO06535ZGD1,2010-11-11,Oral swab,oral/nasal/oropharyngeal swabs,NA,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Oral swab,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
20,50,GVF-CM-ECO06536KI1,NA,GVF-CM-ECO06536KI1,2010-11-17,Kidney,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Kidney,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
20,51,GVF-CM-ECO06536LE1,NA,GVF-CM-ECO06536LE1,2010-11-17,Liver,tissue/biopsy,NA,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Liver,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
20,52,GVF-CM-ECO06536LI1,NA,GVF-CM-ECO06536LI1,2010-11-17,Colon,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Colon,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
20,53,GVF-CM-ECO06536LU1,NA,GVF-CM-ECO06536LU1,2010-11-17,Lung,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Lung,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
20,54,GVF-CM-ECO06536LV1,NA,GVF-CM-ECO06536LV1,2010-11-17,Liver,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Liver,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
20,55,GVF-CM-ECO06536OR1,NA,GVF-CM-ECO06536OR1,2010-11-17,Oral swab,oral/nasal/oropharyngeal swabs,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Oral swab,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
20,56,GVF-CM-ECO06536RR1,NA,GVF-CM-ECO06536RR1,2010-11-17,Rectal swab,rectal/anal swab,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Rectal swab,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
20,57,GVF-CM-ECO06536SP1,NA,GVF-CM-ECO06536SP1,2010-11-17,Spleen,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Spleen,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
20,58,GVF-CM-ECO06536DN1,NA,GVF-CM-ECO06536DN1,2010-11-17,Blood drop,blood drop,NA,NA,NA,NA,Ambient temperature,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Blood drop,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
21,59,GVF-CM-ECO06537F1,NA,GVF-CM-ECO06537F1,2010-11-17,Feces,feces,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Feces,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
21,60,GVF-CM-ECO06537KI1,NA,GVF-CM-ECO06537KI1,2010-11-17,Kidney,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Kidney,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
21,61,GVF-CM-ECO06537LE1,NA,GVF-CM-ECO06537LE1,2010-11-17,Liver,tissue/biopsy,NA,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Liver,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
21,62,GVF-CM-ECO06537LI1,NA,GVF-CM-ECO06537LI1,2010-11-17,Colon,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Colon,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
21,63,GVF-CM-ECO06537LU1,NA,GVF-CM-ECO06537LU1,2010-11-17,Lung,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Lung,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
21,64,GVF-CM-ECO06537LV1,NA,GVF-CM-ECO06537LV1,2010-11-17,Liver,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Liver,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
21,65,GVF-CM-ECO06537OR1,NA,GVF-CM-ECO06537OR1,2010-11-17,Oral swab,oral/nasal/oropharyngeal swabs,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Oral swab,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
21,66,GVF-CM-ECO06537RR1,NA,GVF-CM-ECO06537RR1,2010-11-17,Rectal swab,rectal/anal swab,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Rectal swab,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
21,67,GVF-CM-ECO06537SI1,NA,GVF-CM-ECO06537SI1,2010-11-17,Lung,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Lung,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
21,68,GVF-CM-ECO06537SP1,NA,GVF-CM-ECO06537SP1,2010-11-17,Spleen,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Spleen,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
21,69,GVF-CM-ECO06537NE1,NA,GVF-CM-ECO06537NE1,2010-11-17,Internal parasite,other,NA,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Internal parasite,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
22,70,GVF-CM-ECO06538F1,NA,GVF-CM-ECO06538F1,2010-11-17,Feces,feces,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Feces,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
22,71,GVF-CM-ECO06538KI1,NA,GVF-CM-ECO06538KI1,2010-11-17,Kidney,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Kidney,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
22,72,GVF-CM-ECO06538LE1,NA,GVF-CM-ECO06538LE1,2010-11-17,Liver,tissue/biopsy,NA,NA,NA,NA,NA,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Liver,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
22,73,GVF-CM-ECO06538LI1,NA,GVF-CM-ECO06538LI1,2010-11-17,Colon,tissue/biopsy,NA,NA,NA,NA,Liquid Nitrogen,StorageFacility,StorageLocation,Address,StorageLocation,StorageLocation,Address,NA,Comments,NA,NA,2015-03-04T00:17:27.49,Colon,2015-03-04T00:17:27.49,2015-03-04T00:17:27.49,TestCOuntry1
