eidith_name,eidith_class,eidith_order,eidith_family,eidith_genus,eidith_species,itis_name,itis_class,itis_order,itis_family,itis_genus,itis_species,itis_subspecies,itis_binomial
Ploceus nigerrimus,Aves,Passeriformes,Ploceidae,Ploceus,nigerrimus,Ploceus nigerrimus,Aves,Passeriformes,Ploceidae,Ploceus,nigerrimus,NA,Ploceus nigerrimus
Colius striatus,Aves,Coliiformes,Coliidae,Colius,striatus,Colius striatus,Aves,Coliiformes,Coliidae,Colius,striatus,NA,Colius striatus
Eidolon helvum,Mammalia,Chiroptera,Pteropodidae,Eidolon,helvum,Eidolon helvum,Mammalia,Chiroptera,Pteropodidae,Eidolon,helvum,NA,Eidolon helvum
Rousettus angolensis,Mammalia,Chiroptera,Pteropodidae,Rousettus,angolensis,Lissonycteris angolensis angolensis,Mammalia,Chiroptera,Pteropodidae,Lissonycteris,angolensis,angolensis,Lissonycteris angolensis
Trichechus senegalensis,Mammalia,Sirenia,Trichechidae,Trichechus,senegalensis,Trichechus senegalensis,Mammalia,Sirenia,Trichechidae,Trichechus,senegalensis,NA,Trichechus senegalensis
Turdus pelios,Aves,Passeriformes,Turdidae,Turdus,pelios,Turdus pelios,Aves,Passeriformes,Turdidae,Turdus,pelios,NA,Turdus pelios
Scotonycteris zenkeri,Mammalia,Chiroptera,Pteropodidae,Scotonycteris,zenkeri,Scotonycteris zenkeri,Mammalia,Chiroptera,Pteropodidae,Scotonycteris,zenkeri,NA,Scotonycteris zenkeri
Muscicapa striata,Aves,Passeriformes,Muscicapidae,Muscicapa,striata,Muscicapa striata,Aves,Passeriformes,Muscicapidae,Muscicapa,striata,NA,Muscicapa striata
Stiphrornis erythrothorax,Aves,Passeriformes,Muscicapidae,Stiphrornis,erythrothorax,Stiphrornis erythrothorax,Aves,Passeriformes,Muscicapidae,Stiphrornis,erythrothorax,NA,Stiphrornis erythrothorax
Hypsignathus monstrosus,Mammalia,Chiroptera,Pteropodidae,Hypsignathus,monstrosus,Hypsignathus monstrosus,Mammalia,Chiroptera,Pteropodidae,Hypsignathus,monstrosus,NA,Hypsignathus monstrosus
Aves,Aves,,NA,NA,NA,Aves sp.,Aves,NA,NA,NA,NA,NA,NA
Columbina talpacoti,Aves,Columbiformes,Columbidae,Columbina,talpacoti,Columbina talpacoti,Aves,Columbiformes,Columbidae,Columbina,talpacoti,NA,Columbina talpacoti
Blastocerus dichotomus,Mammalia,Artiodactyla,Cervidae,Blastocerus,dichotomus,Blastocerus dichotomus,Mammalia,Artiodactyla,Cervidae,Blastocerus,dichotomus,NA,Blastocerus dichotomus
Cuniculus paca,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,NA,Cuniculus paca
Tayassu pecari,Mammalia,Artiodactyla,Tayassuidae,Tayassu,pecari,Tayassu pecari,Mammalia,Artiodactyla,Tayassuidae,Tayassu,pecari,NA,Tayassu pecari
Pycnonotus blanfordi,Aves,Passeriformes,Pycnonotidae,Pycnonotus,blanfordi,Pycnonotus blanfordi,Aves,Passeriformes,Pycnonotidae,Pycnonotus,blanfordi,NA,Pycnonotus blanfordi
Megaerops niphanae,Mammalia,Chiroptera,Pteropodidae,Megaerops,niphanae,Megaerops niphanae,Mammalia,Chiroptera,Pteropodidae,Megaerops,niphanae,NA,Megaerops niphanae
Rousettus sp.,Mammalia,Chiroptera,Pteropodidae,Rousettus,NA,Rousettus sp.,Mammalia,Chiroptera,Pteropodidae,Rousettus,NA,NA,NA
Maxomys surifer,Mammalia,Rodentia,Muridae,Maxomys,surifer,Maxomys surifer,Mammalia,Rodentia,Muridae,Maxomys,surifer,NA,Maxomys surifer
Menetes berdmorei,Mammalia,Rodentia,Sciuridae,Menetes,berdmorei,Menetes berdmorei,Mammalia,Rodentia,Sciuridae,Menetes,berdmorei,NA,Menetes berdmorei
Melopsittacus undulatus,Aves,Psittaciformes,Psittacidae,Melopsittacus,undulatus,Melopsittacus undulatus,Aves,Psittaciformes,Psittacidae,Melopsittacus,undulatus,NA,Melopsittacus undulatus
Paroaria coronata,Aves,Passeriformes,Emberizidae,Paroaria,coronata,Paroaria coronata,Aves,Passeriformes,Thraupidae,Paroaria,coronata,NA,Paroaria coronata
Leopoldamys sabanus,Mammalia,Rodentia,Muridae,Leopoldamys,sabanus,Leopoldamys sabanus,Mammalia,Rodentia,Muridae,Leopoldamys,sabanus,NA,Leopoldamys sabanus
Paradoxurus hermaphroditus,Mammalia,Carnivora,Viverridae,Paradoxurus,hermaphroditus,Paradoxurus hermaphroditus,Mammalia,Carnivora,Viverridae,Paradoxurus,hermaphroditus,NA,Paradoxurus hermaphroditus
Dremomys rufigenis,Mammalia,Rodentia,Sciuridae,Dremomys,rufigenis,Dremomys rufigenis,Mammalia,Rodentia,Sciuridae,Dremomys,rufigenis,NA,Dremomys rufigenis
Eonycteris spelaea,Mammalia,Chiroptera,Pteropodidae,Eonycteris,spelaea,Eonycteris spelaea,Mammalia,Chiroptera,Pteropodidae,Eonycteris,spelaea,NA,Eonycteris spelaea
Petaurista philippensis,Mammalia,Rodentia,Sciuridae,Petaurista,philippensis,Petaurista philippensis,Mammalia,Rodentia,Sciuridae,Petaurista,philippensis,NA,Petaurista philippensis
Tupaia belangeri,Mammalia,Scandentia,Tupaiidae,Tupaia,belangeri,Tupaia belangeri,Mammalia,Scandentia,Tupaiidae,Tupaia,belangeri,NA,Tupaia belangeri
Callosciurus erythraeus,Mammalia,Rodentia,Sciuridae,Callosciurus,erythraeus,Callosciurus erythraeus,Mammalia,Rodentia,Sciuridae,Callosciurus,erythraeus,NA,Callosciurus erythraeus
Ratufa bicolor,Mammalia,Rodentia,Sciuridae,Ratufa,bicolor,Ratufa bicolor,Mammalia,Rodentia,Sciuridae,Ratufa,bicolor,NA,Ratufa bicolor
Viverra megaspila,Mammalia,Carnivora,Viverridae,Viverra,megaspila,Viverra megaspila,Mammalia,Carnivora,Viverridae,Viverra,megaspila,NA,Viverra megaspila
Hylopetes platyurus,Mammalia,Rodentia,Sciuridae,Hylopetes,platyurus,Hylopetes platyurus,Mammalia,Rodentia,Sciuridae,Hylopetes,platyurus,NA,Hylopetes platyurus
Callosciurus finlaysonii,Mammalia,Rodentia,Sciuridae,Callosciurus,finlaysonii,Callosciurus finlaysonii,Mammalia,Rodentia,Sciuridae,Callosciurus,finlaysonii,NA,Callosciurus finlaysonii
Melogale moschata,Mammalia,Carnivora,Mustelidae,Melogale,moschata,Melogale moschata,Mammalia,Carnivora,Mustelidae,Melogale,moschata,NA,Melogale moschata
Pteropodidae sp.,Mammalia,Chiroptera,Pteropodidae,NA,NA,Pteropodidae sp.,Mammalia,Chiroptera,Pteropodidae,NA,NA,NA,NA
Hylopetes sp.,Mammalia,Rodentia,Sciuridae,Hylopetes,NA,Hylopetes sp.,Mammalia,Rodentia,Sciuridae,Hylopetes,NA,NA,NA
Callosciurus inornatus,Mammalia,Rodentia,Sciuridae,Callosciurus,inornatus,Callosciurus inornatus,Mammalia,Rodentia,Sciuridae,Callosciurus,inornatus,NA,Callosciurus inornatus
Cynopterus sphinx,Mammalia,Chiroptera,Pteropodidae,Cynopterus,sphinx,Cynopterus sphinx,Mammalia,Chiroptera,Pteropodidae,Cynopterus,sphinx,NA,Cynopterus sphinx
Viverricula indica,Mammalia,Carnivora,Viverridae,Viverricula,indica,Viverricula indica,Mammalia,Carnivora,Viverridae,Viverricula,indica,NA,Viverricula indica
Arctictis binturong,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,Mammalia,Carnivora,Viverridae,Arctictis,binturong,NA,Arctictis binturong
Myotis horsfieldii,Mammalia,Chiroptera,Vespertilionidae,Myotis,horsfieldii,Myotis horsfieldii,Mammalia,Chiroptera,Vespertilionidae,Myotis,horsfieldii,NA,Myotis horsfieldii
Megaderma lyra,Mammalia,Chiroptera,Megadermatidae,Megaderma,lyra,Megaderma lyra,Mammalia,Chiroptera,Megadermatidae,Megaderma,lyra,NA,Megaderma lyra
Charadrius dubius,Aves,Charadriiformes,Charadriidae,Charadrius,dubius,Charadrius dubius,Aves,Charadriiformes,Charadriidae,Charadrius,dubius,NA,Charadrius dubius
Rallus aquaticus,Aves,Gruiformes,Rallidae,Rallus,aquaticus,Rallus aquaticus,Aves,Gruiformes,Rallidae,Rallus,aquaticus,NA,Rallus aquaticus
Larus ridibundus,Aves,Charadriiformes,Laridae,Larus,ridibundus,Chroicocephalus ridibundus,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,NA,Chroicocephalus ridibundus
Tringa minuta,Aves,Charadriiformes,Scolopacidae,Tringa,minuta,Calidris minuta,Aves,Charadriiformes,Scolopacidae,Calidris,minuta,NA,Calidris minuta
Tadorna ferruginea,Aves,Anseriformes,Anatidae,Tadorna,ferruginea,Tadorna ferruginea,Aves,Anseriformes,Anatidae,Tadorna,ferruginea,NA,Tadorna ferruginea
Ardeola grayii,Aves,Pelecaniformes,Ardeidae,Ardeola,grayii,Ardeola grayii,Aves,Pelecaniformes,Ardeidae,Ardeola,grayii,NA,Ardeola grayii
Numenius arquata,Aves,Charadriiformes,Scolopacidae,Numenius,arquata,Numenius arquata,Aves,Charadriiformes,Scolopacidae,Numenius,arquata,NA,Numenius arquata
Gallinago gallinago,Aves,Charadriiformes,Scolopacidae,Gallinago,gallinago,Gallinago gallinago,Aves,Charadriiformes,Scolopacidae,Gallinago,gallinago,NA,Gallinago gallinago
Nycticorax nycticorax,Aves,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,Nycticorax nycticorax,Aves,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,NA,Nycticorax nycticorax
Glareola maldivarum,Aves,Charadriiformes,Glareolidae,Glareola,maldivarum,Glareola maldivarum,Aves,Charadriiformes,Glareolidae,Glareola,maldivarum,NA,Glareola maldivarum
Actitis hypoleucos,Aves,Charadriiformes,Scolopacidae,Actitis,hypoleucos,Actitis hypoleucos,Aves,Charadriiformes,Scolopacidae,Actitis,hypoleucos,NA,Actitis hypoleucos
Glareola lactea,Aves,Charadriiformes,Glareolidae,Glareola,lactea,Glareola lactea,Aves,Charadriiformes,Glareolidae,Glareola,lactea,NA,Glareola lactea
Charadrius mongolus,Aves,Charadriiformes,Charadriidae,Charadrius,mongolus,Charadrius mongolus,Aves,Charadriiformes,Charadriidae,Charadrius,mongolus,NA,Charadrius mongolus
Dicrurus leucophaeus,Aves,Passeriformes,Dicruridae,Dicrurus,leucophaeus,Dicrurus leucophaeus,Aves,Passeriformes,Dicruridae,Dicrurus,leucophaeus,NA,Dicrurus leucophaeus
Dicrurus macrocercus,Aves,Passeriformes,Dicruridae,Dicrurus,macrocercus,Dicrurus macrocercus,Aves,Passeriformes,Dicruridae,Dicrurus,macrocercus,NA,Dicrurus macrocercus
Hirundo rustica,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,Hirundo rustica,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,NA,Hirundo rustica
Rhinolophus pearsonii,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,pearsonii,Rhinolophus pearsonii,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,pearsonii,NA,Rhinolophus pearsonii
Hipposideros armiger,Mammalia,Chiroptera,Hipposideridae,Hipposideros,armiger,Hipposideros armiger,Mammalia,Chiroptera,Hipposideridae,Hipposideros,armiger,NA,Hipposideros armiger
Rhinolophus sinicus,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,sinicus,Rhinolophus sinicus,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,sinicus,NA,Rhinolophus sinicus
Myotis ricketti,Mammalia,Chiroptera,Vespertilionidae,Myotis,ricketti,Myotis ricketti,Mammalia,Chiroptera,Vespertilionidae,Myotis,ricketti,NA,Myotis ricketti
Miniopterus fuliginosus,Mammalia,Chiroptera,Miniopteridae,Miniopterus,fuliginosus,Miniopterus schreibersii fuliginosus,Mammalia,Chiroptera,Miniopteridae,Miniopterus,schreibersii,fuliginosus,Miniopterus schreibersii
Ia io,Mammalia,Chiroptera,Vespertilionidae,Ia,io,Ia io,Mammalia,Chiroptera,Vespertilionidae,Ia,io,NA,Ia io
Fulica atra,Aves,Gruiformes,Rallidae,Fulica,atra,Fulica atra,Aves,Gruiformes,Rallidae,Fulica,atra,NA,Fulica atra
Tachybaptus ruficollis,Aves,Podicipediformes,Podicipedidae,Tachybaptus,ruficollis,Tachybaptus ruficollis,Aves,Podicipediformes,Podicipedidae,Tachybaptus,ruficollis,NA,Tachybaptus ruficollis
Hydrophasianus chirurgus,Aves,Charadriiformes,Jacanidae,Hydrophasianus,chirurgus,Hydrophasianus chirurgus,Aves,Charadriiformes,Jacanidae,Hydrophasianus,chirurgus,NA,Hydrophasianus chirurgus
Anas falcata,Aves,Anseriformes,Anatidae,Anas,falcata,Anas falcata,Aves,Anseriformes,Anatidae,Anas,falcata,NA,Anas falcata
Netta rufina,Aves,Anseriformes,Anatidae,Netta,rufina,Netta rufina,Aves,Anseriformes,Anatidae,Netta,rufina,NA,Netta rufina
Vanellus cinereus,Aves,Charadriiformes,Charadriidae,Vanellus,cinereus,Vanellus cinereus,Aves,Charadriiformes,Charadriidae,Vanellus,cinereus,NA,Vanellus cinereus
Rhinolophus rex,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,rex,Rhinolophus rex,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,rex,NA,Rhinolophus rex
Myotis sp.,Mammalia,Chiroptera,Vespertilionidae,Myotis,NA,Myotis sp.,Mammalia,Chiroptera,Vespertilionidae,Myotis,NA,NA,NA
Rhinolophus pusillus,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,pusillus,Rhinolophus pusillus,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,pusillus,NA,Rhinolophus pusillus
Rhinolophus affinis,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,affinis,Rhinolophus affinis,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,affinis,NA,Rhinolophus affinis
Rhinolophus luctus,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,luctus,Rhinolophus luctus,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,luctus,NA,Rhinolophus luctus
Tylonycteris robustula,Mammalia,Chiroptera,Vespertilionidae,Tylonycteris,robustula,Tylonycteris robustula,Mammalia,Chiroptera,Vespertilionidae,Tylonycteris,robustula,NA,Tylonycteris robustula
Hipposideros pomona,Mammalia,Chiroptera,Hipposideridae,Hipposideros,pomona,Hipposideros pomona,Mammalia,Chiroptera,Hipposideridae,Hipposideros,pomona,NA,Hipposideros pomona
Hipposideros cineraceus,Mammalia,Chiroptera,Hipposideridae,Hipposideros,cineraceus,Hipposideros cineraceus,Mammalia,Chiroptera,Hipposideridae,Hipposideros,cineraceus,NA,Hipposideros cineraceus
Taphozous nudiventris chinensis,Mammalia,Chiroptera,Emballonuridae,Taphozous,nudiventris,Taphozous nudiventris,Mammalia,Chiroptera,Emballonuridae,Taphozous,nudiventris,NA,Taphozous nudiventris
Tadarida aegyptiaca,Mammalia,Chiroptera,Molossidae,Tadarida,aegyptiaca,Tadarida aegyptiaca,Mammalia,Chiroptera,Molossidae,Tadarida,aegyptiaca,NA,Tadarida aegyptiaca
Hipposideros speoris,Mammalia,Chiroptera,Hipposideridae,Hipposideros,speoris,Hipposideros speoris,Mammalia,Chiroptera,Hipposideridae,Hipposideros,speoris,NA,Hipposideros speoris
Hipposideros fulvus,Mammalia,Chiroptera,Hipposideridae,Hipposideros,fulvus,Hipposideros fulvus,Mammalia,Chiroptera,Hipposideridae,Hipposideros,fulvus,NA,Hipposideros fulvus
Bycanistes fistulator,Aves,Bucerotiformes,Bucerotidae,Bycanistes,fistulator,Bycanistes fistulator,Aves,Bucerotiformes,Bucerotidae,Bycanistes,fistulator,NA,Bycanistes fistulator
Corythaeola cristata,Aves,Musophagiformes,Musophagidae,Corythaeola,cristata,Corythaeola cristata,Aves,Musophagiformes,Musophagidae,Corythaeola,cristata,NA,Corythaeola cristata
Kerivoula cuprosa,Mammalia,Chiroptera,Vespertilionidae,Kerivoula,cuprosa,Kerivoula cuprosa,Mammalia,Chiroptera,Vespertilionidae,Kerivoula,cuprosa,NA,Kerivoula cuprosa
Hipposideros fuliginosus,Mammalia,Chiroptera,Hipposideridae,Hipposideros,fuliginosus,Hipposideros fuliginosus,Mammalia,Chiroptera,Hipposideridae,Hipposideros,fuliginosus,NA,Hipposideros fuliginosus
Nycteris hispida,Mammalia,Chiroptera,Nycteridae,Nycteris,hispida,Nycteris hispida,Mammalia,Chiroptera,Nycteridae,Nycteris,hispida,NA,Nycteris hispida
Fraseria cinerascens,Aves,Passeriformes,Muscicapidae,Fraseria,cinerascens,Fraseria cinerascens,Aves,Passeriformes,Muscicapidae,Fraseria,cinerascens,NA,Fraseria cinerascens
Uroderma bilobatum,Mammalia,Chiroptera,Phyllostomidae,Uroderma,bilobatum,Uroderma bilobatum,Mammalia,Chiroptera,Phyllostomidae,Uroderma,bilobatum,NA,Uroderma bilobatum
Platyrrhinus helleri,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,helleri,Platyrrhinus helleri,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,helleri,NA,Platyrrhinus helleri
Sturnira ludovici,Mammalia,Chiroptera,Phyllostomidae,Sturnira,ludovici,Sturnira ludovici,Mammalia,Chiroptera,Phyllostomidae,Sturnira,ludovici,NA,Sturnira ludovici
Geochelone denticulata,Reptilia,Testudines,Testudinidae,Geochelone,denticulata,Chelonoidis denticulata,Reptilia,Testudines,Testudinidae,Chelonoidis,denticulata,NA,Chelonoidis denticulata
Alouatta sara,Mammalia,Primates,Atelidae,Alouatta,sara,Alouatta sara,Mammalia,Primates,Atelidae,Alouatta,sara,NA,Alouatta sara
Ateles chamek,Mammalia,Primates,Atelidae,Ateles,chamek,Ateles chamek,Mammalia,Primates,Atelidae,Ateles,chamek,NA,Ateles chamek
Hipposideros larvatus,Mammalia,Chiroptera,Hipposideridae,Hipposideros,larvatus,Hipposideros larvatus,Mammalia,Chiroptera,Hipposideridae,Hipposideros,larvatus,NA,Hipposideros larvatus
Taphozous theobaldi,Mammalia,Chiroptera,Emballonuridae,Taphozous,theobaldi,Taphozous theobaldi,Mammalia,Chiroptera,Emballonuridae,Taphozous,theobaldi,NA,Taphozous theobaldi
Hipposideros lekaguli,Mammalia,Chiroptera,Hipposideridae,Hipposideros,lekaguli,Hipposideros lekaguli,Mammalia,Chiroptera,Hipposideridae,Hipposideros,lekaguli,NA,Hipposideros lekaguli
Tadarida plicata,Mammalia,Chiroptera,Molossidae,Tadarida,plicata,Chaerephon plicatus,Mammalia,Chiroptera,Molossidae,Chaerephon,plicatus,NA,Chaerephon plicatus
Rousettus amplexicaudatus,Mammalia,Chiroptera,Pteropodidae,Rousettus,amplexicaudatus,Rousettus amplexicaudatus,Mammalia,Chiroptera,Pteropodidae,Rousettus,amplexicaudatus,NA,Rousettus amplexicaudatus
Hipposideros lylei,Mammalia,Chiroptera,Hipposideridae,Hipposideros,lylei,Hipposideros lylei,Mammalia,Chiroptera,Hipposideridae,Hipposideros,lylei,NA,Hipposideros lylei
Niviventer fulvescens,Mammalia,Rodentia,Muridae,Niviventer,fulvescens,Niviventer fulvescens,Mammalia,Rodentia,Muridae,Niviventer,fulvescens,NA,Niviventer fulvescens
Rhinolophus shameli,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,shameli,Rhinolophus shameli,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,shameli,NA,Rhinolophus shameli
Rattus losea,Mammalia,Rodentia,Muridae,Rattus,losea,Rattus losea,Mammalia,Rodentia,Muridae,Rattus,losea,NA,Rattus losea
Leopoldamys edwardsi,Mammalia,Rodentia,Muridae,Leopoldamys,edwardsi,Leopoldamys edwardsi,Mammalia,Rodentia,Muridae,Leopoldamys,edwardsi,NA,Leopoldamys edwardsi
Zosterops japonicus,Aves,Passeriformes,Zosteropidae,Zosterops,japonicus,Zosterops japonicus,Aves,Passeriformes,Zosteropidae,Zosterops,japonicus,NA,Zosterops japonicus
Mus musculus,Mammalia,Rodentia,Muridae,Mus,musculus,Mus musculus,Mammalia,Rodentia,Muridae,Mus,musculus,NA,Mus musculus
Mus caroli,Mammalia,Rodentia,Muridae,Mus,caroli,Mus caroli,Mammalia,Rodentia,Muridae,Mus,caroli,NA,Mus caroli
Tamiops maritimus,Mammalia,Rodentia,Sciuridae,Tamiops,maritimus,Tamiops maritimus,Mammalia,Rodentia,Sciuridae,Tamiops,maritimus,NA,Tamiops maritimus
Pellorneum capistratum,Aves,Passeriformes,Pellorneidae,Pellorneum,capistratum,Pellorneum capistratum,Aves,Passeriformes,Pellorneidae,Pellorneum,capistratum,NA,Pellorneum capistratum
Berylmys bowersi,Mammalia,Rodentia,Muridae,Berylmys,bowersi,Berylmys bowersi,Mammalia,Rodentia,Muridae,Berylmys,bowersi,NA,Berylmys bowersi
Lanius schach,Aves,Passeriformes,Laniidae,Lanius,schach,Lanius schach,Aves,Passeriformes,Laniidae,Lanius,schach,NA,Lanius schach
Muntiacus muntjak,Mammalia,Artiodactyla,Cervidae,Muntiacus,muntjak,Muntiacus muntjak,Mammalia,Artiodactyla,Cervidae,Muntiacus,muntjak,NA,Muntiacus muntjak
Rattus exulans,Mammalia,Rodentia,Muridae,Rattus,exulans,Rattus exulans,Mammalia,Rodentia,Muridae,Rattus,exulans,NA,Rattus exulans
Rattus andamanensis,Mammalia,Rodentia,Muridae,Rattus,andamanensis,Rattus andamanensis,Mammalia,Rodentia,Muridae,Rattus,andamanensis,NA,Rattus andamanensis
Nectarinia verticalis,Aves,Passeriformes,Nectariniidae,Nectarinia,verticalis,Cyanomitra verticalis,Aves,Passeriformes,Nectariniidae,Cyanomitra,verticalis,NA,Cyanomitra verticalis
Alcedo cristata,Aves,Coraciiformes,Alcedinidae,Alcedo,cristata,Alcedo cristata,Aves,Coraciiformes,Alcedinidae,Alcedo,cristata,NA,Alcedo cristata
Turdoides plebejus,Aves,Passeriformes,Leiothrichidae,Turdoides,plebejus,Turdoides plebejus,Aves,Passeriformes,Leiothrichidae,Turdoides,plebejus,NA,Turdoides plebejus
Ceyx lecontei,Aves,Coraciiformes,Alcedinidae,Ceyx,lecontei,Ceyx lecontei,Aves,Coraciiformes,Alcedinidae,Ceyx,lecontei,NA,Ceyx lecontei
Merops bulocki,Aves,Coraciiformes,Meropidae,Merops,bulocki,Merops bulocki,Aves,Coraciiformes,Meropidae,Merops,bulocki,NA,Merops bulocki
Pipistrellus nanulus,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,nanulus,Pipistrellus nanulus,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,nanulus,NA,Pipistrellus nanulus
Mandingoa nitidula,Aves,Passeriformes,Estrildidae,Mandingoa,nitidula,Mandingoa nitidula,Aves,Passeriformes,Estrildidae,Mandingoa,nitidula,NA,Mandingoa nitidula
Lagonosticta rufopicta,Aves,Passeriformes,Estrildidae,Lagonosticta,rufopicta,Lagonosticta rufopicta,Aves,Passeriformes,Estrildidae,Lagonosticta,rufopicta,NA,Lagonosticta rufopicta
Euplectes hordeaceus,Aves,Passeriformes,Ploceidae,Euplectes,hordeaceus,Euplectes hordeaceus,Aves,Passeriformes,Ploceidae,Euplectes,hordeaceus,NA,Euplectes hordeaceus
Oryzomys sp.,Mammalia,Rodentia,Muridae,Oryzomys,NA,Oryzomys sp.,Mammalia,Rodentia,Cricetidae,Oryzomys,NA,NA,NA
Nephelomys sp.,Mammalia,Rodentia,Muridae,Oryzomys,Oryzomys,Nephelomys sp.,Mammalia,Rodentia,Cricetidae,Nephelomys,NA,NA,NA
Oligoryzomys sp.,Mammalia,Rodentia,Muridae,Oligoryzomys,NA,Oligoryzomys sp.,Mammalia,Rodentia,Cricetidae,Oligoryzomys,NA,NA,NA
Viverra zibetha,Mammalia,Carnivora,Viverridae,Viverra,zibetha,Viverra zibetha,Mammalia,Carnivora,Viverridae,Viverra,zibetha,NA,Viverra zibetha
Varanus bengalensis,Reptilia,Squamata,Varanidae,Varanus,bengalensis,Varanus bengalensis,Reptilia,Squamata,Varanidae,Varanus,bengalensis,NA,Varanus bengalensis
Varanus sp.,Reptilia,Squamata,Varanidae,Varanus,,Varanus sp.,Reptilia,Squamata,Varanidae,Varanus,NA,NA,NA
Callosciurus sp.,Mammalia,Rodentia,Sciuridae,Callosciurus,NA,Callosciurus sp.,Mammalia,Rodentia,Sciuridae,Callosciurus,NA,NA,NA
Cynopterus brachyotis,Mammalia,Chiroptera,Pteropodidae,Cynopterus,brachyotis,Cynopterus brachyotis,Mammalia,Chiroptera,Pteropodidae,Cynopterus,brachyotis,NA,Cynopterus brachyotis
Brotogeris chiriri,Aves,Psittaciformes,Psittacidae,Brotogeris,chiriri,Brotogeris chiriri,Aves,Psittaciformes,Psittacidae,Brotogeris,chiriri,NA,Brotogeris chiriri
Cebus libidinosus,Mammalia,Primates,Cebidae,Cebus,libidinosus,Sapajus libidinosus,Mammalia,Primates,Cebidae,Sapajus,libidinosus,NA,Sapajus libidinosus
Amazona aestiva,Aves,Psittaciformes,Psittacidae,Amazona,aestiva,Amazona aestiva,Aves,Psittaciformes,Psittacidae,Amazona,aestiva,NA,Amazona aestiva
Aratinga weddellii,Aves,Psittaciformes,Psittacidae,Aratinga,weddellii,Aratinga weddellii,Aves,Psittaciformes,Psittacidae,Aratinga,weddellii,NA,Aratinga weddellii
Herpestes ichneumon,Mammalia,Carnivora,Herpestidae,Herpestes,ichneumon,Herpestes ichneumon,Mammalia,Carnivora,Herpestidae,Herpestes,ichneumon,NA,Herpestes ichneumon
Cricetomys sp.,Mammalia,Rodentia,Muridae,Cricetomys,NA,Cricetomys sp.,Mammalia,Rodentia,Nesomyidae,Cricetomys,NA,NA,NA
Otomops martiensseni,Mammalia,Chiroptera,Molossidae,Otomops,martiensseni,Otomops martiensseni,Mammalia,Chiroptera,Molossidae,Otomops,martiensseni,NA,Otomops martiensseni
Saguinus imperator,Mammalia,Primates,Callitrichidae,Saguinus,imperator,Saguinus imperator,Mammalia,Primates,Callitrichidae,Saguinus,imperator,NA,Saguinus imperator
Saimiri boliviensis,Mammalia,Primates,Cebidae,Saimiri,boliviensis,Saimiri boliviensis,Mammalia,Primates,Cebidae,Saimiri,boliviensis,NA,Saimiri boliviensis
Alouatta guariba ssp. clamitans,Mammalia,Primates,Atelidae,Alouatta,guariba,Alouatta guariba clamitans,Mammalia,Primates,Atelidae,Alouatta,guariba,clamitans,Alouatta guariba
Amazona pretrei,Aves,Psittaciformes,Psittacidae,Amazona,pretrei,Amazona pretrei,Aves,Psittaciformes,Psittacidae,Amazona,pretrei,NA,Amazona pretrei
Lagothrix lagotricha,Mammalia,Primates,Atelidae,Lagothrix,lagotricha,Lagothrix lagothricha,Mammalia,Primates,Atelidae,Lagothrix,lagothricha,NA,Lagothrix lagothricha
Bothrops neuwiedi,Reptilia,Squamata,Viperidae,Bothrops,neuwiedi,Bothrops neuwiedi,Reptilia,Squamata,Viperidae,Bothrops,neuwiedi,NA,Bothrops neuwiedi
Callithrix penicillata,Mammalia,Primates,Callitrichidae,Callithrix,penicillata,Callithrix penicillata,Mammalia,Primates,Callitrichidae,Callithrix,penicillata,NA,Callithrix penicillata
Alouatta seniculus,Mammalia,Primates,Atelidae,Alouatta,seniculus,Alouatta seniculus,Mammalia,Primates,Atelidae,Alouatta,seniculus,NA,Alouatta seniculus
Saguinus fuscicollis,Mammalia,Primates,Callitrichidae,Saguinus,fuscicollis,Leontocebus fuscicollis,Mammalia,Primates,Callitrichidae,Leontocebus,fuscicollis,NA,Leontocebus fuscicollis
